,,Telugu_Word,
car1,,,
carAcara,,carAcara,
cara,,caramu^kaxulunaxi^wirugunaxi,
cawur,,cAwuryamu^nAlugu,
cawur,,cAwuryamu^nAlugu,
cawur-viXa,,nAlugu_viXamuluga,
ceRt1,,,
ceRtA,,ceRta,
cekiwAna,,cAndramAsa,
cew,,atula_ayinaco,
cewanA,,cewanamu,
cewas,,ciwwamu^manassu,
ci1,,,
cikIrRu,,ceya_icca_kalavAdu,
cinw1,,,
cinwA,,ciMwa^walapu^xigulu^Alocana,
ciwraraWa,,sUryudu,
ciwwa,,ciwwamu,
cyu1,,,
eXas,,iMXanamu^samiXa,
ekA,,,
ekAgra,,ekAgrawa,
ekAkin,,ekAki,
ekAnwa,,ekAMwamu,
ekAnwika,,,
eka,,oVkati,
eka-Bakwi,,,
aMSa,,aMSamu,
akRara,,akRaramu,
eka-sWa,,,
ekawva,,aBexamu^oVkatigA_uMduta,
eva,,itulane^I_viXamugane,
evam,,ixi_mAwrameV,
evam-rUpa,,,
evam-viXa,,,
ewAvaw,,,*
ewax,,ixi,
ewax-yonin,,,
gANdIva,,gANdIvamu,
gAwra,,avayavamu^SarIramu,
gAyawrI,,gAyawri,
gE1,,,
gQ2,,,
gahanA,,xattamEna^guha^kaRtamu,
gajenxra,,gajeMxrudu,
gam1,,,
ganXa,,ganXamu^vAsana,
ganXarva,,ganXarvudu,
yakRa,,yakRudu,
asura,,asurudu^rAkRasudu,
sixXa,,sixXi_kalavAdu^sixXiMcinaxi,
garBa,,garBamu,
garIyas,,GanamEnaxi,
gawa,,gawa^gawiMcinaxi,
Agawa,,poMxabadinaxi,
asu,,prANamu,
rasa,,rasa,
safga,,safgamu^melanamu,
sanxeha,,saMxehamu,
vyaWa,,vyaWa^bAXa^kleSamu,
gawi,,gawi^calanamu^poka,
gaxin,,gaxAXAri,
geha,,gqhamu^illu^SarIramu,
gir,,,*
glAni,,alasata,
go,,Avu,
govinxa,,goviMxa,
grah1,,,
gras1,,,
grasiRNu,,winuvAdu^mriMguvAdu,
guNa,,guNamu,
guNa-Bokwq,,,
guNa-anviwa,,,
awIwa,,awIwamu^gadacinaxi,
guNa-karman,,,
viBAga,,viBAgamu,
viBAgaSaH,,viBAgamunuMdi,
guNa-pra_vqX1,,,
safKyAna,,safKya,
guNa-safga,,,
guNa-sammUDa,,,
BexawaH,,Bexamuvalana^Bexamu,
guNamayI,,saxguNamulu_kalavAdu,
guNamaya,,saxguNamulu_kalavAdu,
guNawaH,,guNamulaku_anuguNaMga,
gudAkeSa,,arjunudu,
guhya,,guhyamu^rahasyamu,
guhya-wama,,,
guhyawama,,,*
guhyawara,,,
guru,,guruvu^baruvu^muKyamu,
hA2,,,
hAni,,hAni,
ha,,ha,
han1,,,
han1_Nic,,,
hanwa,,ayyo,
hanwq,,hiMsiMcuvAdu,
hanyamAna,,caMpabaduta,
harRa,,harRamu,
Soka,,Sokamu,
amarRa,,asahanaSilamu^kopamu,
uxvega,,uxvegamu,
hari,,hari,
haswa,,haswamu,
haswin,,woVMdamukalaxi^enugu,
havis,,havis^homa_xravyamu,
haya,,hayamu^gurramu,
he,,he,
hewu,,hewuvu,
hewumaw,,,*
hi,,niScayamu,
hiMs1,,,
hiMsA,,hiMsa,
Atmaka,,svaBAvikamu,
himAlaya,,himAlayamu,
kAmyA,,kAmyamu^korika,
hq1,,,
hqR1,,,
hqRIkeSa,,hqRIkeSudu^viRNuvu,
hqRta,,harRamu,
roman,,romamu^cinna_veVMtruka,
hqw,,hariMcunaxi,
hqwa-jFAna,,,
hqx,,manassu^hqxayamu^Cawi,
xeSa,,xeSamu,
hqxaya,,hqxayamu,
xOrbalya,,xOrbalyamu^balahInawa,
hqxya,,manassuku_hiwamEnaxi,
hrI,,siggu^lajja,
hu1,,,
i1,,,
iR2,,,
iRta,,iRtamu,
aniRta,,ayiRtawa^ayiRtamu,
upapawwi,,,
iRta-kAma-Xuk,,,
iRu,,,
icCA,,,
icCA-xveRa-samuwWa,,,
ifg1,,,
iha,,,
ijyA,,,
ikRvAku,,,
inxriyArWa,,,
inxriya,,,
inxriya-ArAma,,,
inxriya-agni,,,
inxriya-arWa,,,
inxriya-gocara,,,
inxriya-grAma,,,
inxriya-karman,,,
iva,,,
iwaH,,,
iwara,,,
iwi,,,
ixAnIm,,,
ixam,,,
jAgq1,,,
jAhnavI,,,
jAwa,,,
jAwi-Xarma,,,
jAwu,,,
jFA1,,,
jFA2,,,
jFAnAgni,,,
jFAna,,,
jFAna-agni-xagXa-karman,,,
jFAna-asi,,,
jFAna-avasWiwa-cewas,,,
jFAna-cakRus,,,
jFAna-gamya,,,
jFAna-nirXUwa-kalmaRA,,,
jFAna-saFCinna-saMSaya,,,
jFAna-safga,,,
jFAna-vijFAna-nASana,,,
jFAna-vijFAna-wqpwa-Awman,,,
jFAna-wapas,,,
jFAna-xIpa,,,
jFAna-xIpiwa,,,
jFAna-yajFa,,,
jFAna-yoga,,,
jFAna-yoga-vyavasWiwi,,,
jFAnaplavana,,,
jFAnavaw,,,
jFAnin,,,
jIrNa,,,
jIv1,,,
jIv1_san,,,
jIva-BUwA,,,
jIva-BUwa,,,
jIva-loka,,,
jIvana,,,
jIviwa,,,
jaGanya-guNa-vqwwi-sWa,,,
jagaw,,,
jagaw-nivAsa,,,
jagaw-pawi,,,
Jan-03,,,
jan3_Nic,,,
janArxana,,,
jana,,,
jana-aXipa,,,
jana-saMsax,,,
janaka-Axi,,,
janman,,,
janman-banXa-vinirmukwa,,,
janman-karman-Pala-praxA,,,
janman-mqwyu-jarA-vyAXi-xuHKa-xoRa-anuxarSana,,,
janman-mqwyu-jarA-xuHKa,,,
janwu,,,
japa-yajFa,,,
jarA,,,
jarA-maraNa-mokRa,,,
jaya,,,
jaya-ajaya,,,
jayaxraWa,,,
ji1,,,
ji1_san,,,
jijFAsu,,,
jiwa-Awman,,,
jiwa-inxriya,,,
jiwa-safga-xoRa,,,
juR2,,,
jvalana,,,
jvalaw,,,
jyAyas,,,
jyAyasI,,,
jyowis,,,
kASirAja,,,
kASya,,,
kAfkR1,,,
kAla,,,
kAla-anala-sanniBa,,,
kAma,,,
kAma-Awman,,,
kAma-Boga,,,
kAma-Boga-arWa,,,
kAma-Xuk,,,
kAma-hEwuka,,,
kAma-ipsu,,,
kAma-kAma,,,
kAma-kAmin,,,
kAma-kAra,,,
kAma-kroXa-parAyaNa,,,
kAma-kroXa-uxBava,,,
kAma-kroXa-viyukwa,,,
kAma-rAga-bala-anviwa,,,
kAma-rAga-vivarjiwa,,,
kAma-rUpa,,,
kAma-safkalpa-varjiwa,,,
kAma-upaBoga-parama,,,
kAmakAra,,,
kAmya,,,
kAraNa,,,
kArpaNya-xoRa-upahawa-svaBAva,,,
kArya,,,
kArya-akArya,,,
kArya-akArya-vyavasWiwi,,,
kArya-karaNa-karwqwva,,,
kAya,,,
kAya-Siras-grIva,,,
kAya-kleSa-Baya,,,
kIrwi,,,
kOSala,,,
kOmAra,,,
kOnweya,,,
kRAnwi,,,
kRAwra,,,
kRI1,,,
kRINa-kalmaRa,,,
kRaNa,,,
kRam1_Nic,,,
kRamA,,,
kRamin,,,
kRara,,,
kRawriya,,,
kRaya,,,
kRemawara,,,
kRewra,,,
kRewra-jFa,,,
kRewra-kRewrajFa,,,
kRewra-kRewrajFa-saMyoga,,,
kRewrin,,,
kRip2,,,
kRipram,,,
kRuxra,,,
kUrma,,,
kUtasWa,,,
kaSmala,,,
kaWa1,,,
kaWam,,,
kacciw,,,
kal2_Nic,,,
kalevara,,,
kalpa-Axi,,,
kalpa-kRaya,,,
kalyANa-kqw,,,
kamala-Asana-sWa,,,
kamala-pawra-akRa,,,
kanxarpa,,,
kapi-Xvaja,,,
kapila,,,
karNa,,,
karaNIyA,,,
karaNa,,,
karma-Pala-wyAga,,,
karma-anubanXa,,,
karma-coxanA,,,
karma-safgraha,,,
karmajA,,,
karmaja,,,
karman,,,
karman-Pala,,,
karman-Pala-Asafga,,,
karman-Pala-hewu,,,
karman-Pala-prepsu,,,
karman-Pala-saMyoga,,,
karman-Pala-wyAgin,,,
karman-banXa,,,
karman-banXana,,,
karman-inxriya,,,
karman-saFjFiwa,,,
karman-safga,,,
karman-safgin,,,
karman-samuxBava,,,
karman-sannyAsa,,,
karman-yoga,,,
karmin,,,
karuNa,,,
karwq,,,
karwqwva,,,
katu-amla-lavaNa-awyuRNa-wIkRNa-rUkRa-vixAhin,,,
kavi,,,
kawaraw,,,
kaxAcana,,,
kaxAciw,,,
keSava,,,
keSava-arjuna,,,
keSiniRUxana,,,
kevala,,,
kiFcana,,,
kiFciw,,,
kilbiRa,,,
kim,,,
kim-AcAra,,,
kirItin,,,
klEbya,,,
kleSa,,,
klix1_Nic,,,
kq3,,,
kq3_Nic,,,
kqR1,,,
kqR1_Nic,,,
kqRNa,,,
kqRi-gO-rakRya-vANijya,,,
kqp1,,,
kqpA,,,
kqpa,,,
kqpaNa,,,
kqw1,,,
kqwa,,,
kqwa-aFjali,,,
kqwa-anwa,,,
kqwa-kqwya,,,
kqwa-niScaya,,,
kqwsna,,,
kqwsna-karman-kqw,,,
kqwsna-vix,,,
kqwsnavaw,,,
krUra,,,
krawu,,,
kriyA,,,
kriyA-viSeRa-bahulA,,,
kroXa,,,
kuSala,,,
kula,,,
kula-Xarma,,,
kula-kRaya,,,
kula-kRaya-kqw,,,
kula-swrI,,,
kulaGna,,,
kunwi-puwra,,,
kunwiBoja,,,
kuru,,,
kuru-SreRTa,,,
kuru-kRewra,,,
kuru-pravIra,,,
kuru-vqxXa,,,
kurunanxana,,,
kurusawwama,,,
kusumAkara,,,
kuwaH,,,
kvaciw,,,
lABa,,,
lABa-alABa,,,
lAGava,,,
laB1,,,
laGvASin,,,
lakRaNa,,,
lifga,,,
lih1_san,,,
lip1,,,
loBa,,,
loBa-upahawa-cewas,,,
loka,,,
loka-kRaya-kqw,,,
loka-mahaw-ISvara,,,
loka-safgraha,,,
loka-wraya,,,
lubXa,,,
lupwa-piNda-uxakakriyA,,,
mA,,,
mAXava,,,
mAhAwmya,,,
mAmaka,,,
mAmikA,,,
mAna-apamAna,,,
mAnasa,,,
mAnava,,,
mAnuRI,,,
mAnuRa,,,
mArgaSIrRa,,,
mAruwa,,,
mArxava,,,
mAsa,,,
mAwq,,,
mAwrA-sparSa,,,
mAwula,,,
mAyA,,,
mEwra,,,
mOna,,,
mOnin,,,
mUDa,,,
mUDa-grAha,,,
mUDa-yoni,,,
mUla,,,
mUrXan,,,
mUrwi,,,
maNi-gaNa,,,
maXusUxana,,,
maXya,,,
mahAbAhu,,,
mahAn-SafKa,,,
mahAn-raWa,,,
mahAnuBAva,,,
mahAraWa,,,
mahAwman,,,
mahI,,,
mahI-kqw,,,
mahI-pawi,,,
mahIkRiw,,,
mahaw,,,
mahaw-Awman,,,
mahaw-aSana,,,
mahaw-bAhu,,,
mahaw-iRvAsa,,,
mahaw-pApman,,,
mahaw-qRi,,,
mahawI,,,
mahax,,,
mahax-Awman,,,
mahax-BUwa,,,
mahax-qRi-sixXa-safGa,,,
mahax-yogeSvara,,,
maheSvara,,,
mahiman,,,
makara,,,
mala,,,
man1,,,
man2,,,
manIRin,,,
mana-prasAxa,,,
manaH-RaRTa,,,
manaH-gawa,,,
manas,,,
manas-prANa-inxriya-kriyA,,,
manmaya,,,
manoraWa,,,
manu,,,
manuRya,,,
manuRya-loka,,,
manwra,,,
manwra-hIna,,,
manxa,,,
marIci,,,
maraNa,,,
maruw,,,
marwya,,,
marwya-loka,,,
maw-mana,,,
mawa,,,
mawi,,,
mawwa,,,
maxa,,,
meXA,,,
meXAvin,,,
meru,,,
miSra,,,
miWyA,,,
miWyA-AcAra,,,
miwra,,,
miwra-ari-pakRa,,,
miwra-xroha,,,
moGa,,,
moGa-ASa,,,
moGa-jFAna,,,
moGa-karman,,,
moha,,,
moha-jAla-samAvqwa,,,
moha-kalila,,,
mohana,,,
mohinI,,,
mokRa,,,
mokRa-AkAfkRin,,,
mokRa-parAyaNa,,,
mq1,,,
mqga,,,
mqgenxra,,,
mqwa,,,
mqwyu,,,
mqwyu-saMsAra-sAgara,,,
mqwyu-saMsAra-varwman,,,
muKa,,,
muKya,,,
muc1,,,
muc1 _Nic,,,
muh1,,,
muh1_Nic,,,
muhuH-muhuH,,,
mukwa-safga,,,
mumukRu,,,
muni,,,
mux1,,,
nASa,,,
nASana,,,
nAga,,,
nAman-yajFa,,,
nAnA-BAva,,,
nAnA-Saswra-praharaNa,,,
nAnA-varNa-Akqwi,,,
nAnA-viXa,,,
nArI,,,
nAraxa,,,
nAsA-aByanwara-cArin,,,
nAsikA-agra,,,
nAyaka,,,
nERTikI,,,
nERkarmya,,,
nERkarmya-sixXi,,,
nERkqwika,,,
nI1,,,
nIwi,,,
nO,,,
na,,,
na-ASriwa,,,
na-AramBa,,,
na-Avqwwi,,,
na-Awman,,,
na-Aximaw,,,
na-Axiwva,,,
na-Baj1,,,
na-ISvara,,,
na-Pala-AkAfkRin,,,
na-Pala-prepsu,,,
na-SASvawa,,,
na-SAswra-vihiwa,,,
na-Sakwa,,,
na-Sama,,,
na-Saswra,,,
na-SraxXA,,,
na-SraxxaXAna,,,
na-SuSrURu,,,
na-Suci,,,
na-Xruva,,,
na-aBisanXa,,,
na-aS2,,,
na-ahaMvAxin,,,
na-ahafkAra,,,
na-anyA,,,
na-anya-gAmin,,,
na-apekRa,,,
na-asUya1,,,
na-asUyu,,,
na-ava_Ap1,,,
na-ava_IkR1,,,
na-ava_lok2,,,
na-awi-mAniwA,,,
na-buxXi,,,
na-cApala,,,
na-cewas,,,
na-cira,,,
na-hEwuka,,,
na-iR2,,,
na-jFA2,,,
na-kalmaRa,,,
na-karman,,,
na-karman-kqw,,,
na-karwq,,,
na-kq3,,,
na-kqwa-Awman,,,
na-kqwa-buxXiwva,,,
na-kqwsna-vix,,,
na-kriya,,,
na-kuSala,,,
na-palAyana,,,
na-parimeyA,,,
na-pra_Ap1,,,
na-prameya,,,
na-prawIkAra,,,
na-priya,,,
na-rawi,,,
na-saMSaya,,,
na-safga-Saswra,,,
na-sammUDa,,,
na-sammoha,,,
na-sannyaswa-safkalpa,,,
na-sawkqwa,,,
na-sixXi,,,
na-sqRtAnna,,,
na-suKa,,,
na-upakArin,,,
na-uxvega-kara,,,
na-vaSa,,,
na-viXi-pUrvaka,,,
na-vi_Baj1,,,
na-vi_jFA2,,,
na-vi_naS1,,,
na-vikampa,,,
na-vixvas,,,
na-vyaBicAra,,,
na-vyaBicAriNI,,,
na-wawwvArWavaw,,,
na-wyAgin,,,
na-xakRiNa,,,
na-xeSa-kAla,,,
na-xroha,,,
na-xveRtq,,,
na-yaSas,,,
na-yaWAvaw,,,
na-yuj2,,,
naBas,,,
naBas-spqS,,,
naRta-Awman,,,
naS1,,,
naS1_Nic,,,
na_aBiRvafga,,,
nacirAw,,,
nakRawra,,,
nakula,,,
nam1,,,
namaH,,,
namas_kq3,,,
namasya,,,
narAXama,,,
narAXipa,,,
nara,,,
nara-aXama,,,
nara-loka-vIra,,,
nara-pufgava,,,
naraka,,,
nava,,,
navan-xvAra,,,
naxI,,,
ni-vAwa-sWa,,,
ni-yuj2,,,
niHSreyasa-kara,,,
niHspqha,,,
niRTA,,,
niSA,,,
niScalA,,,
niScaya,,,
niSciwa,,,
niXAna,,,
niXana,,,
ni_banX1,,,
ni_buX2,,,
ni_car1,,,
ni_gam1,,,
ni_grah1,,,
ni_han1,,,
ni_miR1,,,
ni_rah1,,,
ni_ruX1,,,
ni_vas1,,,
ni_viS1_Nic,,,
ni_vqw*1,,,
ni_vqw1,,,
ni_yam1,,,
ni_yam3,,,
ni_yuj2,,,
nibanXa,,,
nigraha,,,
nimiwwa,,,
nimiwwa-mAwra,,,
ninx1,,,
nir-ASis,,,
nir-ASraya,,,
nir-AhAra,,,
nir-agni,,,
nir-ahafkAra,,,
nir-guNa,,,
nir-malawva,,,
nir-mama,,,
nir-vEra,,,
nir-vikAra,,,
nir-xoRa,,,
nir-xvanxva,,,
nir-yoga-kRema,,,
nir_IkR1,,,
nirguNawva,,,
nirmAna-moha,,,
nirmala,,,
nirmama,,,
nirvANa-paramA,,,
nirvexa,,,
nirxeSa,,,
nis-spqha,,,
nis-wrEguNya,,,
nivAsa,,,
nivqwwi,,,
niwya,,,
niwya-aBi_yuj2,,,
niwya-jAwa,,,
niwya-sannyAsin,,,
niwya-sawwvasWa,,,
niwya-wqpwa,,,
niwya-yuj2,,,
niwyaSaH,,,
niwyavErin,,,
nixrA-Alasya-pramAxa-uwWa,,,
niyama,,,
niyawa,,,
niyawa-AhAra,,,
niyawa-Awman,,,
niyawa-mAnasa,,,
no,,,
nq,,,
nq-loka,,,
nu,,,
nyAsa,,,
nyAyya,,,
oRaXI,,,
ofkAra,,,
ojas,,,
om,,,
pAFcajanya,,,
pANdava,,,
pANdava-anIka,,,
pANdu-puwra,,,
pApa,,,
pApa-kqwwama,,,
pApa-yoni,,,
pApman,,,
pArWa,,,
pAruRya,,,
pAvaka,,,
pAvana,,,
pAwra,,,
pIdA,,,
pONdra,,,
pOruRa,,,
pOrvaxehika,,,
pOwra,,,
pU1_Nic,,,
pU2,,,
pUjA-arha,,,
pUjya,,,
pUruRa,,,
pUrva,,,
pUrva-aByAsa,,,
pUrvam,,,
pUrvawara,,,
pUwa-pApa,,,
pUwi,,,
paFcama,,,
paFcan,,,
paNavAnaka-gomuKa,,,
paNdiwa,,,
paWin,,,
pac1,,,
pakRin,,,
parA,,,
parNa,,,
para,,,
para-Xarma,,,
param,,,
paramA,,,
paramAwman,,,
parama,,,
parama-iRvAsa,,,
parameSvara,,,
paramparA-pra_Ap1,,,
paranwapa,,,
parasparam,,,
paraswAw,,,
parawaH,,,
parawara,,,
pari-jFAwq,,,
pariNAma,,,
pari_SuR1,,,
pari_ava_sWA1,,,
pari_cakR1,,,
pari_cinw1,,,
pari_kQw1,,,
pari_kliS2,,,
pari_mArg1,,,
pari_sam_Ap1,,,
pari_upa_As1,,,
pari_wyaj1,,,
pari_xah1,,,
pari_xiv1,,,
paricarya-Awmaka,,,
parigraha,,,
paripanWin,,,
paripraSna,,,
pariwrANa,,,
pariwyAga,,,
parjanya,,,
paryApwa,,,
paryuRiwa,,,
pavana,,,
paviwra,,,
paw1,,,
paw1_Nic,,,
pawafga,,,
pawra,,,
paxa,,,
paxma-pawra,,,
piwAmaha,,,
piwq,,,
piwq-vrawa,,,
pqRTawaH,,,
pqWak,,,
pqWak-viXa,,,
pqWakwva,,,
pqWivI,,,
pqWivIpawi,,,
prAFjali,,,
prANAyAma-parAyaNa,,,
prANa,,,
prANa-apAna,,,
prANa-apAna-gawi,,,
prANa-apAna-sam_Af_yuj2,,,
prANa-karman,,,
prANin,,,
prAXAnya,,,
prAk,,,
prAkqwa,,,
prIwa-manas,,,
prIwi,,,
prIwi-pUrvaka,,,
prIyamANa,,,
praBA,,,
praBava,,,
praBaviRNu,,,
praBu,,,
praC1,,,
praNava,,,
praNaya,,,
praNipAwa,,,
praSAnwa,,,
praSAnwa-Awman,,,
praSAnwa-manas,,,
praSaswa,,,
praWiwa,,,
pra_Af_raB1,,,
pra_Ap1,,,
pra_Ap2,,,
pra_BAR1,,,
pra_BU1,,,
pra_Nam1,,,
pra_XmA1,,,
pra_arWa1,,,
pra_brU1,,,
pra_hA2,,,
pra_han1,,,
pra_has1,,,
pra_hqR1,,,
pra_i1,,,
pra_jFA2,,,
pra_kAS1_Nic,,,
pra_lI1,,,
pra_lap1,,,
pra_muc1,,,
pra_naS1,,,
pra_nam1,,,
pra_ni_XA1,,,
pra_pax1,,,
pra_sU1,,,
pra_sU2,,,
pra_sWA1,,,
pra_sac2,,,
pra_sax1,,,
pra_sax1_Nic,,,
pra_siX3,,,
pra_sq1,,,
pra_u1,,,
pra_vac1,,,
pra_vax1,,,
pra_viS1,,,
pra_vi_Baj1,,,
pra_vi_lI1,,,
pra_vqX1,,,
pra_vqw1,,,
pra_vyaW1,,,
pra_wap1,,,
pra_xIp1,,,
pra_xiS1,,,
pra_xqS1,,,
pra_xuR1,,,
pra_xviR1,,,
pra_yA1,,,
pra_yam2,,,
pra_yuj2,,,
prahlAxa,,,
prajA,,,
prajA-pawi,,,
prajApawi,,,
prajFA,,,
prajFA-vAxa,,,
prajana,,,
prakASa,,,
prakASaka,,,
prakIrwi,,,
prakqwi,,,
prakqwi-ja,,,
prakqwi-sWa,,,
prakqwi-samBava,,,
prakqwija,,,
pralIna,,,
pralaya,,,
pralaya-anwA,,,
pramANa,,,
pramAWin,,,
pramAxa,,,
pramAxa-Alasya-nixrA,,,
pramAxa-moha,,,
pramuKa,,,
prapaSyaw,,,
prapiwAmaha,,,
prasAxa,,,
prasaBa,,,
prasafga,,,
prasanna,,,
prasanna-Awman,,,
prasanna-cewas,,,
pravqwwa,,,
pravqwwi,,,
pravyaWiwa-anwar-Awman,,,
prawApa,,,
prawi,,,
prawi-upakAra,,,
prawiRTA,,,
prawiRTiwA,,,
prawiRTiwa,,,
prawi_jFA2,,,
prawi_pax1,,,
prawi_sWA1_Nic,,,
prawi_yuXa1,,,
prawyakRa-avagama,,,
prawyanIka,,,
prawyavAya,,,
prayANa-kAla,,,
prayAwa,,,
prayawa-Awman,,,
prayawna,,,
prewa,,,
priyA,,,
priya,,,
priya-cikIrRu,,,
priya-hiwa,,,
priya-kqwwama,,,
priya-wara,,,
puNya,,,
puNya-Pala,,,
puNya-karman,,,
puNya-kqw,,,
puR3,,,
puRkalA,,,
puRpa,,,
puRpiwA,,,
pumaw,,,
pums,,,
punaH,,,
punarAvarwin,,,
punarjanman,,,
purA,,,
purANI,,,
purANa,,,
purAwana,,,
pura,,,
puraswAw,,,
puroXas,,,
puruRa,,,
puruRa-uwwama,,,
puruRa-vyAGra,,,
puruRarRaBa,,,
puruRowwama,,,
purujiw,,,
puwra,,,
puwra-xAra-gqha-Axi,,,
q1,,,
qRi,,,
qX1,,,
qk,,,
qwa,,,
qwe,,,
qwu,,,
rAgAwmaka,,,
rAga-xveRa,,,
rAga-xveRa-viyukwa,,,
rAgin,,,
rAjan,,,
rAjan-guhya,,,
rAjan-qRi,,,
rAjan-vixyA,,,
rAjasI,,,
rAjasa,,,
rAjya,,,
rAjya-suKa-loBa,,,
rAkRasI,,,
rAma,,,
rAwri,,,
rAwri-Agama,,,
rUpa,,,
raNa,,,
raNa-samuxyama,,,
raWa,,,
raWa-upasWa,,,
raWa-uwwama,,,
rahas,,,
rahasya,,,
raja-guNa-samuxBava,,,
rajas,,,
rakRas,,,
ram1,,,
rasAwmaka,,,
rasa,,,
rasa-varja,,,
rasana,,,
rasya,,,
ravi,,,
rawa,,,
ripu,,,
roma-harRaNa,,,
roman-harRa,,,
ruX1,,,
ruXira-pra_xih1,,,
ruxra,,,
ruxra-Axiwya,,,
sAXarmya,,,
sAXu,,,
sAXu-BAva,,,
sAXya,,,
sAfKya,,,
sAfKya-yoga,,,
sAgara,,,
sAkRAw,,,
sAkRin,,,
sAmAsika,,,
sAman,,,
sAmarWya,,,
sAmavexa,,,
sAmya,,,
sAwwvikI,,,
sAwwvika,,,
sAwwvika-priya,,,
sAwyaki,,,
sEnya,,,
sOBaxra,,,
sOkRmya,,,
sOmaxawwi,,,
sOmya,,,
sOmya-vapus,,,
sOmyawva,,,
sU2,,,
sUkRmawva,,,
sUrya,,,
sUrya-sahasra,,,
sUwa-puwra,,,
sUwra,,,
sWA1,,,
sWA1_Nic,,,
sWANu,,,
sWAna,,,
sWAvara,,,
sWAvara-jafgama,,,
sWErya,,,
sWirA,,,
sWira,,,
sWira-buxXi,,,
sWira-mawi,,,
sWiwa-XI,,,
sWiwa-prajFa,,,
sWiwi,,,
sa-Sara,,,
sa-aXi-BUwa-aXi-xEva,,,
sa-aXi-yajFa,,,
sa-ahafkAra,,,
sa-cewas,,,
sa-gaxgaxa,,,
sa-vijFAna,,,
sa-vikAra,,,
sa-xoRa,,,
saFjFA-arWa,,,
saFjanayaw,,,
saFjaya,,,
saKa,,,
saKi,,,
saMSaya,,,
saMSaya-Awman,,,
saMSiwa-vrawa,,,
saMSuxXa-kilbiRa,,,
saMsAra,,,
saMsixXi,,,
saMsparSa-ja,,,
saMvAxa,,,
saMyama-agni,,,
saMyamin,,,
saMyawa-inxriya,,,
sac2,,,
sacarAcara,,,
safGAwa,,,
safKya,,,
safga,,,
safga-rahiwa,,,
safga-varjiwa,,,
safga-vivarjiwa,,,
safgrAma,,,
safgraha,,,
safkalpa-praBava,,,
safkara,,,
saha,,,
saha-yajFa,,,
saha1,,,
sahaja,,,
sahasA,,,
sahasra,,,
sahasra-bAhu,,,
sahasra-yuga-paryanwa,,,
sahasraSaH,,,
sahasrakqwvas,,,
sahaxeva,,,
sakwa,,,
samA-hq1,,,
samAXi,,,
samAXi-sWa,,,
samAramBa,,,
samAsa,,,
samBava,,,
sam_Af_XA1,,,
sam_Af_car1,,,
sam_Af_gam1,,,
sam_Ap1,,,
sam_BU1,,,
sam_BU1_Nic,,,
sam_IkR1,,,
sam_Sri1,,,
sam_aXi_gam1,,,
sam_ava_sWA1,,,
sam_awi_i1,,,
sam_hq1,,,
sam_jan3,,,
sam_ji1,,,
sam_ni_as1,,,
sam_ni_viR2,,,
sam_ni_yam1,,,
sam_pax1,,,
sam_pra_IkR1,,,
sam_pra_kQw1,,,
sam_pra_vqw1,,,
sam_smq1,,,
sam_swamB1,,,
sam_upa_Af_Sri1,,,
sam_upa_sWA1,,,
sam_vqw1,,,
sam_wQ1,,,
sam_wuR1,,,
sam_xqS1,,,
sam_yA1,,,
sam_yam1,,,
sam_yam3,,,
sam_yam3_Nic,,,
sama,,,
sama-buxXi,,,
sama-ciwwawva,,,
sama-loRta-aSman-kAFcana,,,
sama-xarSana,,,
sama-xuHKa-suKa,,,
samagra,,,
samam,,,
samanwAw,,,
samanwawaH,,,
samavewa,,,
samawA,,,
samawIwa,,,
samawva,,,
samaxarSin,,,
sambanXin,,,
samiwiFjaya,,,
samixXa,,,
sammoha,,,
sammuKa,,,
sampaSyaw,,,
sampax,,,
sampluwoxaka,,,
samprawiRTA,,,
samqxXa,,,
samqxXa-vega,,,
samuxXarwq,,,
samuxra,,,
samyak,,,
sanAwana,,,
sannyAsa,,,
sannyAsa-yoga-yukwa-Awman,,,
sannyAsin,,,
sannyasana,,,
sanwa,,,
sapawna,,,
sapwan,,,
saras,,,
sarga,,,
sarpa,,,
sarvA,,,
sarva,,,
sarva-AScaryamaya,,,
sarva-AramBa,,,
sarva-AramBa-pariwyAgin,,,
sarva-BAva,,,
sarva-BUwa,,,
sarva-BUwa-ASaya-sWA1,,,
sarva-BUwa-Awma-BUwa-Awman,,,
sarva-BUwa-hiwa,,,
sarva-BUwa-sWA1,,,
sarva-BUwa-sWa,,,
sarva-Bqw,,,
sarva-Xarma,,,
sarva-arWa,,,
sarva-gawa,,,
sarva-guhya-wama,,,
sarva-hara,,,
sarva-inxriya-guNa-ABAsa,,,
sarva-inxriya-vi_vqj3,,,
sarva-jFAna-vimUDa,,,
sarva-kAma,,,
sarva-kRewra,,,
sarva-karman,,,
sarva-karman-Pala-wyAga,,,
sarva-kilbiRa,,,
sarva-loka-mahaw-ISvara,,,
sarva-pApa,,,
sarva-safkalpa-sannyAsin,,,
sarva-vexa,,,
sarva-vix,,,
sarva-vqkRa,,,
sarva-xehin,,,
sarva-xuHKa,,,
sarva-xurga,,,
sarva-xvAra,,,
sarva-yajFa,,,
sarva-yoni,,,
sarvaBUwa,,,
sarvaSaH,,,
sarvaWA,,,
sarvawaH,,,
sarvawaH-Sruwimaw,,,
sarvawaH-akRi-Siras-muKa,,,
sarvawaH-pANi-pAxa,,,
sarvawra,,,
sarvawra-ga,,,
